Time,max(Result),min(Result)
4.03e-08,1.19036e+06,-3.45264e+07
4.04e-08,1.18472e+06,-3.45554e+07
4.05e-08,1.17672e+06,-3.45618e+07
4.06e-08,1.17205e+06,-3.45342e+07
4.07e-08,1.18025e+06,-3.45123e+07
4.08e-08,1.17918e+06,-3.45479e+07
4.09e-08,1.17181e+06,-3.45769e+07
4.1e-08,1.16462e+06,-3.45792e+07
4.11e-08,1.16624e+06,-3.45362e+07
4.12e-08,1.16985e+06,-3.45329e+07
4.13e-08,1.16807e+06,-3.45679e+07
4.14e-08,1.16958e+06,-3.45785e+07
4.15e-08,1.16833e+06,-3.45696e+07
4.16e-08,1.17592e+06,-3.45152e+07
4.17e-08,1.15795e+06,-3.4553e+07
4.18e-08,1.15702e+06,-3.45867e+07
4.19e-08,1.15839e+06,-3.45964e+07
4.2e-08,1.1571e+06,-3.4586e+07
4.21e-08,1.1437e+06,-3.45572e+07
4.22e-08,1.14611e+06,-3.45721e+07
4.23e-08,1.14603e+06,-3.46044e+07
4.24e-08,1.14762e+06,-3.46123e+07
4.25e-08,1.14668e+06,-3.45977e+07
4.26e-08,1.14278e+06,-3.45606e+07
4.27e-08,1.13519e+06,-3.45888e+07
4.28e-08,1.13722e+06,-3.4619e+07
4.29e-08,1.1363e+06,-3.46307e+07
4.3e-08,1.13563e+06,-3.46172e+07
4.31e-08,1.13194e+06,-3.45784e+07
4.32e-08,1.12442e+06,-3.46042e+07
4.33e-08,1.12667e+06,-3.46344e+07
4.34e-08,1.12569e+06,-3.46464e+07
4.35e-08,1.12498e+06,-3.46341e+07
4.36e-08,1.11135e+06,-3.46104e+07
4.37e-08,1.11402e+06,-3.46179e+07
4.38e-08,1.11584e+06,-3.46476e+07
4.39e-08,1.12688e+06,-3.46407e+07
4.4e-08,1.13009e+06,-3.46216e+07
4.41e-08,1.1214e+06,-3.46043e+07
4.42e-08,1.10401e+06,-3.46299e+07
4.43e-08,1.1007e+06,-3.4669e+07
4.44e-08,1.09287e+06,-3.46995e+07
4.45e-08,1.08811e+06,-3.4703e+07
4.46e-08,1.10095e+06,-3.46388e+07
4.47e-08,1.09417e+06,-3.46414e+07
4.48e-08,1.09064e+06,-3.46803e+07
4.49e-08,1.08298e+06,-3.4713e+07
4.5e-08,1.07808e+06,-3.472e+07
4.51e-08,1.09093e+06,-3.46608e+07
4.52e-08,1.08416e+06,-3.46544e+07
4.53e-08,1.08077e+06,-3.46898e+07
4.54e-08,1.07336e+06,-3.47255e+07
4.55e-08,1.06851e+06,-3.47334e+07
4.56e-08,1.07878e+06,-3.4687e+07
4.57e-08,1.07582e+06,-3.4654e+07
4.58e-08,1.07078e+06,-3.46982e+07
4.59e-08,1.06406e+06,-3.47363e+07
4.6e-08,1.05897e+06,-3.47467e+07
4.61e-08,1.06033e+06,-3.47251e+07
4.62e-08,1.0669e+06,-3.46575e+07
4.63e-08,1.06017e+06,-3.47056e+07
4.64e-08,1.06258e+06,-3.47318e+07
4.65e-08,1.06373e+06,-3.4735e+07
4.66e-08,1.06228e+06,-3.47228e+07
4.67e-08,1.0581e+06,-3.46824e+07
