Time,max(CACoordsX),min(CACoordsX),max(coordsX_Meniscus),min(coordsX_Meniscus),time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N),# Time,pressureForceX,pressureForceY,pressureForceZ,viscousForceX,viscousForceY,viscousForceZ,capillaryForceX,capillaryForceY,capillaryForceZ,max(Result),min(Result)
3.4e-09,1.51336e-07,1.51035e-07,1.52066e-07,1.51035e-07,3.39999770393e-09,-1e+300,1.8246209899300002e-23,3.00874412658e-25,(1.86412762471e-11 2.66352194459e-27 -6.15671181884e-13),3.39999770393e-09,0.0,0.0,-6.50735583388e-08,2.37581108362e-11,3.2906307407300004e-27,0.0,1.83195545795e-11,-6.06524244401e-25,1.89860991128e-11,4677080.0,-27089200.0
3.5e-09,1.51123e-07,1.5082e-07,1.51853e-07,1.5082e-07,3.50000232213e-09,-1e+300,1.82451214767e-23,3.02218537266e-25,(1.87170219453e-11 2.75176815759e-27 -6.12024282728e-13),3.50000232213e-09,0.0,0.0,-6.68026395483e-08,2.37931457894e-11,3.20714562529e-27,0.0,1.83193064021e-11,-5.537370860600001e-25,1.89609019366e-11,4558130.0,-27503000.0
3.6e-09,1.50914e-07,1.50614e-07,1.51644e-07,1.50614e-07,3.59999765212e-09,-1e+300,1.81918694526e-23,3.03018065883e-25,(1.87451353564e-11 3.26303277217e-27 -6.05664979988e-13),3.59999765212e-09,0.0,0.0,-6.69878534423e-08,2.37865923742e-11,3.4588424452900004e-27,0.0,1.83190744434e-11,-4.947232649400001e-25,1.89373732642e-11,4625970.0,-27225500.0
3.7e-09,1.50704e-07,1.50401e-07,1.51434e-07,1.50401e-07,3.69999525821e-09,-1e+300,1.81779739355e-23,3.04217418741e-25,(1.88017148915e-11 3.94552902919e-27 -6.00622530911e-13),3.69999525821e-09,0.0,0.0,-6.79619175541e-08,2.38082879849e-11,4.01569476935e-27,0.0,1.83188547832e-11,-4.23890710091e-25,1.89124338953e-11,4619750.0,-27339200.0
3.8e-09,1.50497e-07,1.50199e-07,1.51228e-07,1.50199e-07,3.79999640883e-09,-1e+300,1.8133887176300002e-23,3.0487457157899998e-25,(1.88410494573e-11 4.52393716756e-27 -5.9577151173e-13),3.79999640883e-09,0.0,0.0,-6.96987952609e-08,2.38013804571e-11,4.40526734747e-27,0.0,1.83186533062e-11,-3.38012684222e-25,1.8889373214e-11,4444450.0,-27649000.0
3.9e-09,1.50291e-07,1.49989e-07,1.51021e-07,1.49989e-07,3.90000367543e-09,-1e+300,1.81106871822e-23,3.05842268155e-25,(1.8884883249e-11 4.90018830396e-27 -5.90045536837e-13),3.90000367543e-09,0.0,0.0,-7.08875447445e-08,2.38078536263e-11,4.60207060236e-27,0.0,1.83184658884e-11,-2.37279864602e-25,1.88648977213e-11,4398680.0,-27822800.0
4e-09,1.50087e-07,1.49789e-07,1.50818e-07,1.49789e-07,3.99999642073e-09,-1e+300,1.8069579594900002e-23,3.06755912954e-25,(1.89256849232e-11 4.6216162943e-27 -5.85885941169e-13),3.99999642073e-09,0.0,0.0,-7.1431196134e-08,2.38168421018e-11,4.24535862766e-27,0.0,1.83182967296e-11,-1.26276089919e-25,1.88422715318e-11,4423100.0,-27706600.0
4.1e-09,1.49883e-07,1.49582e-07,1.50614e-07,1.49582e-07,4.1000022105e-09,-1e+300,1.8039097740700002e-23,3.0760222032e-25,(1.89590435204e-11 4.10465713727e-27 -5.79537769884e-13),4.1000022105e-09,0.0,0.0,-7.24299495329e-08,2.3814124139e-11,3.59511348012e-27,0.0,1.83181439979e-11,-1.24508274094e-26,1.88183383458e-11,4397630.0,-27807400.0
4.2e-09,1.49682e-07,1.49385e-07,1.50413e-07,1.49385e-07,4.1999978007e-09,-1e+300,1.80017945668e-23,3.08445789344e-25,(1.9004041223e-11 3.49578730469e-27 -5.76110844114e-13),4.1999978007e-09,0.0,0.0,-7.34391486708e-08,2.38253353879e-11,2.83759446792e-27,0.0,1.83180091387e-11,9.60797056384e-26,1.87961456073e-11,4353520.0,-27860900.0
4.3e-09,1.49481e-07,1.4918e-07,1.50211e-07,1.4918e-07,4.2999967369e-09,-1e+300,1.79671832665e-23,3.09193183847e-25,(1.90304727099e-11 2.64943542568e-27 -5.69517942773e-13),4.2999967369e-09,0.0,0.0,-7.44327503702e-08,2.38159751496e-11,2.03322662183e-27,0.0,1.83178934087e-11,1.94202158354e-25,1.87728084483e-11,4323420.0,-27959100.0
4.4e-09,1.49282e-07,1.48985e-07,1.50014e-07,1.48985e-07,4.39999691982e-09,-1e+300,1.7932153394500002e-23,3.09958259957e-25,(1.90772024538e-11 1.92771264302e-27 -5.66760635585e-13),4.39999691982e-09,0.0,0.0,-7.57399686367e-08,2.38279309556e-11,1.36080108992e-27,0.0,1.8317793859e-11,2.79927909366e-25,1.87510964158e-11,4236050.0,-28112800.0
4.5e-09,1.49083e-07,1.48783e-07,1.49814e-07,1.48783e-07,4.50000467952e-09,-1e+300,1.7896090634900002e-23,3.10626822396e-25,(1.90997146701e-11 1.2048244739e-27 -5.60157975826e-13),4.50000467952e-09,0.0,0.0,-7.68852205201e-08,2.38142912218e-11,8.01455597252e-28,0.0,1.83177168814e-11,3.54057419201e-25,1.87283700924e-11,4185860.0,-28265000.0
4.59999e-09,1.48887e-07,1.48591e-07,1.49619e-07,1.48591e-07,4.59999487418e-09,-1e+300,1.78596202822e-23,3.11523885741e-25,(1.91434097709e-11 8.1411633557e-28 -5.57444749055e-13),4.59999487418e-09,0.0,0.0,-7.74079059788e-08,2.38318486501e-11,5.91321103764e-28,0.0,1.83176521037e-11,4.18635802507e-25,1.87071646287e-11,4217350.0,-28143600.0
4.7e-09,1.48691e-07,1.48391e-07,1.49422e-07,1.48391e-07,4.70000210284e-09,-1e+300,1.78226400106e-23,3.12195349383e-25,(1.91635374203e-11 5.52759919603e-28 -5.50830428766e-13),4.70000210284e-09,0.0,0.0,-7.83776804861e-08,2.38183251065e-11,5.2734003598e-28,0.0,1.83176141106e-11,4.7667966224699995e-25,1.86849878151e-11,4192650.0,-28245900.0
4.8e-09,1.48497e-07,1.48202e-07,1.49229e-07,1.48202e-07,4.79999623352e-09,-1e+300,1.7784258028300002e-23,3.12847471708e-25,(1.92064710961e-11 5.91099213589e-28 -5.48569673232e-13),4.79999623352e-09,0.0,0.0,-7.96640267227e-08,2.38287210918e-11,7.06706936484e-28,0.0,1.83175837311e-11,5.3106880352799985e-25,1.86643040607e-11,4105540.0,-28369800.0
4.9e-09,1.48303e-07,1.48004e-07,1.49034e-07,1.48004e-07,4.90000062097e-09,-1e+300,1.77478170071e-23,3.13650508298e-25,(1.92247397985e-11 7.24483747908e-28 -5.41997121395e-13),4.90000062097e-09,0.0,0.0,-7.98904095315e-08,2.38217177057e-11,8.53296102862e-28,0.0,1.83175852281e-11,5.84554507417e-25,1.86426805882e-11,4193120.0,-28239000.0
5.00001e-09,1.48112e-07,1.47817e-07,1.48844e-07,1.47817e-07,5.00000477428e-09,-1e+300,1.7705566372400002e-23,3.14259870853e-25,(1.92625877772e-11 6.40788856491e-28 -5.39713612021e-13),5.00000477428e-09,0.0,0.0,-8.10439468792e-08,2.38290296683e-11,1.06251317201e-27,0.0,1.83175879366e-11,6.3885047151e-25,1.86225352869e-11,4126350.0,-28302100.0
5.10001e-09,1.47919e-07,1.47622e-07,1.48652e-07,1.47622e-07,5.10000488306e-09,-1e+300,1.76730365577e-23,3.15001311819e-25,(1.92846877466e-11 8.38411049467e-28 -5.33540465781e-13),5.10000488306e-09,0.0,0.0,-8.18514998068e-08,2.38219475736e-11,1.11800225187e-27,0.0,1.83176286266e-11,6.9419846878799985e-25,1.86014315424e-11,4130620.0,-28381300.0
5.2e-09,1.47731e-07,1.47436e-07,1.48463e-07,1.47436e-07,5.20000215356e-09,-1e+300,1.76260281531e-23,3.15391614648e-25,(1.93174167926e-11 8.12496319422e-28 -5.31275278661e-13),5.20000215356e-09,0.0,0.0,-8.34950045115e-08,2.38192293311e-11,1.01746199427e-27,0.0,1.83176648281e-11,7.48113915574e-25,1.85818257658e-11,3982220.0,-28580000.0
5.3e-09,1.4754e-07,1.47245e-07,1.48273e-07,1.47245e-07,5.30000217608e-09,-1e+300,1.75973948381e-23,3.16295675666e-25,(1.93421105546e-11 9.66638994742e-28 -5.25573817267e-13),5.30000217608e-09,0.0,0.0,-8.38031518364e-08,2.38217079417e-11,9.08316259175e-28,0.0,1.83177418802e-11,7.959526826739998e-25,1.85612376824e-11,4069490.0,-28519000.0
5.39999e-09,1.47355e-07,1.4706e-07,1.48086e-07,1.4706e-07,5.39999498849e-09,-1e+300,1.75447376897e-23,3.16597548987e-25,(1.93663079799e-11 8.84204037808e-28 -5.22848456823e-13),5.39999498849e-09,0.0,0.0,-8.52396247653e-08,2.38121602191e-11,4.0547779733300005e-28,0.0,1.83178140326e-11,8.32172842158e-25,1.85421597158e-11,3945050.0,-28622800.0
5.5e-09,1.47165e-07,1.46872e-07,1.47899e-07,1.46872e-07,5.49999843609e-09,-1e+300,1.75227206553e-23,3.17484453411e-25,(1.93979620562e-11 7.0593039973e-28 -5.17941945938e-13),5.49999843609e-09,0.0,0.0,-8.61411339334e-08,2.38181037835e-11,-1.29499649742e-28,0.0,1.83179219751e-11,8.527771596389999e-25,1.85220681383e-11,3953220.0,-28774100.0
5.6e-09,1.46982e-07,1.46688e-07,1.47714e-07,1.46688e-07,5.59999821722e-09,-1e+300,1.74681924821e-23,3.17819625747e-25,(1.94114973641e-11 3.62231403568e-28 -5.14275833516e-13),5.59999821722e-09,0.0,0.0,-8.69402906441e-08,2.38033997871e-11,-7.77798092695e-28,0.0,1.83180306355e-11,8.55829379279e-25,1.85034725804e-11,3909940.0,-28678100.0
5.7e-09,1.46794e-07,1.46503e-07,1.47529e-07,1.46503e-07,5.70000269594e-09,-1e+300,1.74470021453e-23,3.18565962292e-25,(1.94506234007e-11 -2.015155827e-28 -5.10760414137e-13),5.70000269594e-09,0.0,0.0,-8.84396814702e-08,2.3813356014e-11,-1.47442559718e-27,0.0,1.83181658393e-11,8.41797799216e-25,1.84839102228e-11,3843850.0,-29008900.0
5.8e-09,1.46614e-07,1.46319e-07,1.47346e-07,1.46319e-07,5.80000453241e-09,-1e+300,1.7389523403800002e-23,3.18982426081e-25,(1.94517421139e-11 -4.91657205712e-28 -5.05374019835e-13),5.80000453241e-09,0.0,0.0,-8.84390674205e-08,2.37922221111e-11,-1.78996086026e-27,0.0,1.83183103223e-11,8.120696494729999e-25,1.84657512325e-11,3895120.0,-28719000.0
5.9e-09,1.46429e-07,1.46138e-07,1.47164e-07,1.46138e-07,5.90000543967e-09,-1e+300,1.7368205050400002e-23,3.19798102165e-25,(1.94966489006e-11 -5.19967621794e-28 -5.03348403082e-13),5.90000543967e-09,0.0,0.0,-8.96042599862e-08,2.38136090217e-11,-1.76009235152e-27,0.0,1.83184694069e-11,7.69067649297e-25,1.84467368056e-11,3887810.0,-28889600.0
