time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N),# Time,pressureForceX,pressureForceY,pressureForceZ,viscousForceX,viscousForceY,viscousForceZ,capillaryForceX,capillaryForceY,capillaryForceZ,Time,max(coordsX_Meniscus),min(coordsX_Meniscus)
3.89999844104e-09,-1e+300,1.92129750039e-23,3.05951607709e-25,(1.86019446979e-11 3.69691821734e-27 -5.22026887088e-13),3.89999844104e-09,0.0,0.0,-7.42618585375e-08,2.32452638613e-11,3.27167167563e-27,0.0,1.83146310331e-11,-5.741639699570001e-26,1.83180520585e-11,3.9e-09,1.50702e-07,1.49657e-07
4.00000124604e-09,-1e+300,1.9152001452500002e-23,3.06656278791e-25,(1.86141277999e-11 2.65866795807e-27 -5.15813583951e-13),4.00000124604e-09,0.0,0.0,-7.52882259061e-08,2.32165777848e-11,2.37010172811e-27,0.0,1.83145989111e-11,6.33900487027e-26,1.8297080512e-11,4e-09,1.50494e-07,1.4945e-07
4.10000327641e-09,-1e+300,1.9109306718800002e-23,3.07564446651e-25,(1.86710888592e-11 1.50587491431e-27 -5.13327825209e-13),4.10000327641e-09,0.0,0.0,-7.61170607186e-08,2.32445109366e-11,1.37371462622e-27,0.0,1.83145937157e-11,1.71203510635e-25,1.82756224824e-11,4.1e-09,1.50286e-07,1.4924e-07
4.1999962051e-09,-1e+300,1.90530665512e-23,3.08154974686e-25,(1.86894072176e-11 4.69612076223e-28 -5.07492495034e-13),4.1999962051e-09,0.0,0.0,-7.78793969674e-08,2.32168525492e-11,5.524725546150001e-28,0.0,1.8314612605e-11,2.62494435368e-25,1.82556603087e-11,4.2e-09,1.50081e-07,1.49038e-07
4.30000313521e-09,-1e+300,1.90058473773e-23,3.09038214492e-25,(1.87370933342e-11 -1.8943048843e-28 -5.04904968627e-13),4.30000313521e-09,0.0,0.0,-7.84656868559e-08,2.32377116708e-11,-1.11999594155e-29,0.0,1.83146531686e-11,3.3847856291e-25,1.82349989415e-11,4.3e-09,1.49876e-07,1.4883e-07
4.40000422139e-09,-1e+300,1.89521288695e-23,3.09787339127e-25,(1.87558619086e-11 -4.54232085258e-28 -4.99391620236e-13),4.40000422139e-09,0.0,0.0,-7.95063821102e-08,2.3220638717e-11,-3.42934002264e-28,0.0,1.83147192069e-11,4.02749117134e-25,1.82159222988e-11,4.4e-09,1.49673e-07,1.48631e-07
4.50000289295e-09,-1e+300,1.8903752475300002e-23,3.10410319659e-25,(1.87992935684e-11 -5.16652456035e-28 -4.96775571337e-13),4.50000289295e-09,0.0,0.0,-8.08102674777e-08,2.3229934356e-11,-3.94851701845e-28,0.0,1.83148043562e-11,4.60048403234e-25,1.81960855687e-11,4.5e-09,1.49471e-07,1.48425e-07
4.60000413937e-09,-1e+300,1.88505728269e-23,3.1128655067e-25,(1.88168187928e-11 -4.89837464858e-28 -4.91424515685e-13),4.60000413937e-09,0.0,0.0,-8.11193950222e-08,2.32212186383e-11,-2.94298052002e-28,0.0,1.83149145369e-11,5.14654276602e-25,1.81778662273e-11,4.6e-09,1.49271e-07,1.48229e-07
4.70000339234e-09,-1e+300,1.88008882349e-23,3.11905744274e-25,(1.88560468105e-11 -2.0473396589e-28 -4.88907486179e-13),4.70000339234e-09,0.0,0.0,-8.23636419657e-08,2.32280893655e-11,6.012126526629998e-29,0.0,1.83150415642e-11,5.7002302668e-25,1.81588157707e-11,4.7e-09,1.49072e-07,1.48026e-07
4.79999532867e-09,-1e+300,1.87491437545e-23,3.12463800125e-25,(1.88769356214e-11 -4.43642777608e-30 -4.84251912544e-13),4.79999532867e-09,0.0,0.0,-8.4142875328e-08,2.32085943281e-11,3.26134284652e-28,0.0,1.83151926337e-11,6.28415605139e-25,1.81413945254e-11,4.8e-09,1.48875e-07,1.47833e-07
4.90000345074e-09,-1e+300,1.869854616e-23,3.13234001177e-25,(1.89114737863e-11 2.89587754304e-28 -4.81519858664e-13),4.90000345074e-09,0.0,0.0,-8.44287765944e-08,2.32213862141e-11,6.496881433480001e-28,0.0,1.83153584594e-11,6.9024653835799985e-25,1.81230807347e-11,4.9e-09,1.48677e-07,1.47632e-07
5.00000285398e-09,-1e+300,1.86452617832e-23,3.1373892933000003e-25,(1.89299792388e-11 4.90816739046e-28 -4.77088252803e-13),5.00000285398e-09,0.0,0.0,-8.61820482421e-08,2.32006502702e-11,7.30961352438e-28,0.0,1.83155463739e-11,7.52417201469e-25,1.81064141408e-11,5e-09,1.48483e-07,1.47441e-07
5.09999817951e-09,-1e+300,1.85968338964e-23,3.14475865883e-25,(1.89649365612e-11 5.49268025742e-28 -4.74211468803e-13),5.09999817951e-09,0.0,0.0,-8.67134214071e-08,2.32123740076e-11,6.5201009765e-28,0.0,1.83157481655e-11,8.084052898469998e-25,1.80887923362e-11,5.1e-09,1.48288e-07,1.47244e-07
5.19999933587e-09,-1e+300,1.8540502013000002e-23,3.15062938699e-25,(1.89775775144e-11 6.48704952554e-28 -4.7014877895e-13),5.19999933587e-09,0.0,0.0,-8.77162380726e-08,2.31939223598e-11,3.52586404014e-28,0.0,1.83159689724e-11,8.50307572203e-25,1.80728270859e-11,5.2e-09,1.48096e-07,1.47054e-07
5.30000107188e-09,-1e+300,1.8494820910200002e-23,3.1572933664e-25,(1.90144242287e-11 3.67113444988e-28 -4.66791415061e-13),5.30000107188e-09,0.0,0.0,-8.85327717508e-08,2.32066716408e-11,-3.85610309625e-28,0.0,1.83162038033e-11,8.725971145079999e-25,1.80558723317e-11,5.3e-09,1.47904e-07,1.4686e-07
5.39999902426e-09,-1e+300,1.8435048881900002e-23,3.16262811491e-25,(1.90211497806e-11 3.8394029954e-29 -4.63158113021e-13),5.39999902426e-09,0.0,0.0,-8.9282150198e-08,2.31848339651e-11,-1.1034428347e-27,0.0,1.83164546726e-11,8.7325695522e-25,1.80405758191e-11,5.4e-09,1.47714e-07,1.46672e-07
5.49999510694e-09,-1e+300,1.83928772539e-23,3.16844729894e-25,(1.90625361351e-11 -5.35660550925e-28 -4.59144818965e-13),5.49999510694e-09,0.0,0.0,-9.04881887826e-08,2.3196085711e-11,-1.95126711216e-27,0.0,1.83167195654e-11,8.53642888606e-25,1.80242812403e-11,5.49999e-09,1.47579e-07,1.46482e-07
5.5999993965e-09,-1e+300,1.8329986211700002e-23,3.17147712873e-25,(1.90643406398e-11 -1.03660037705e-27 -4.56641649724e-13),5.5999993965e-09,0.0,0.0,-9.21334174047e-08,2.31634539994e-11,-2.45736765425e-27,0.0,1.83169971237e-11,8.16542434208e-25,1.80095355254e-11,5.6e-09,1.47336e-07,1.46294e-07
5.69999881151e-09,-1e+300,1.8290647230300002e-23,3.17995541141e-25,(1.91071820951e-11 -1.09438558864e-27 -4.52114224109e-13),5.69999881151e-09,0.0,0.0,-9.27278853745e-08,2.3187983305e-11,-2.38736217584e-27,0.0,1.83172888399e-11,7.65698528051e-25,1.79939379493e-11,5.7e-09,1.47148e-07,1.46107e-07
5.79999598755e-09,-1e+300,1.82230602014e-23,3.18256109648e-25,(1.90998322253e-11 -1.13509307502e-27 -4.49777586874e-13),5.79999598755e-09,0.0,0.0,-9.36794637951e-08,2.31492462085e-11,-2.18540466476e-27,0.0,1.83175893584e-11,7.05040418971e-25,1.7979578813e-11,5.8e-09,1.46963e-07,1.4592e-07
5.90000033379e-09,-1e+300,1.81874334594e-23,3.19067614908e-25,(1.91485645651e-11 -4.38199880887e-28 -4.45681029132e-13),5.90000033379e-09,0.0,0.0,-9.46209417082e-08,2.31782591704e-11,-1.23622628926e-27,0.0,1.83179058456e-11,6.3854359109799985e-25,1.79647757128e-11,5.9e-09,1.46778e-07,1.45737e-07
5.99999453646e-09,-1e+300,1.81224898331e-23,3.19186185302e-25,(1.914680605e-11 7.66796103221e-29 -4.44017768606e-13),5.99999453646e-09,0.0,0.0,-9.6000774248e-08,2.31421785974e-11,-3.80629784568e-28,0.0,1.83182282606e-11,5.700082763849998e-25,1.79506630758e-11,6e-09,1.46593e-07,1.4555e-07
6.10000113554e-09,-1e+300,1.80862598084e-23,3.20000550968e-25,(1.91880876465e-11 1.80967261154e-28 -4.39354893442e-13),6.10000113554e-09,0.0,0.0,-9.69273574131e-08,2.31637745032e-11,-9.31999670976e-30,0.0,1.83185658987e-11,5.02607666844e-25,1.79367603263e-11,6.1e-09,1.46411e-07,1.4537e-07
6.20000030832e-09,-1e+300,1.80226580527e-23,3.20288829654e-25,(1.91915616068e-11 2.6950489487e-28 -4.3826916597e-13),6.20000030832e-09,0.0,0.0,-9.75891312276e-08,2.31424514443e-11,2.12495940418e-28,0.0,1.83189070361e-11,4.38770321043e-25,1.79228131481e-11,6.2e-09,1.46228e-07,1.45183e-07
6.29999969021e-09,-1e+300,1.79845682244e-23,3.21019118582e-25,(1.92221359e-11 8.88818178833e-29 -4.34146034279e-13),6.29999969021e-09,0.0,0.0,-9.8585083471e-08,2.3151403747e-11,-3.76392315996e-29,0.0,1.83192628822e-11,3.80100089037e-25,1.79097634034e-11,6.3e-09,1.46048e-07,1.45008e-07
