Time,max(CACoordsX),min(CACoordsX)
2.65e-08,1.19697e-07,1.19457e-07
2.66e-08,1.19595e-07,1.19357e-07
2.67e-08,1.19497e-07,1.19257e-07
2.68e-08,1.19395e-07,1.19157e-07
2.69e-08,1.19297e-07,1.19057e-07
2.7e-08,1.19196e-07,1.18957e-07
2.71e-08,1.19098e-07,1.18858e-07
2.72e-08,1.18997e-07,1.18759e-07
2.73e-08,1.189e-07,1.1866e-07
2.74e-08,1.18799e-07,1.18561e-07
2.75e-08,1.18702e-07,1.18462e-07
2.76e-08,1.18602e-07,1.18363e-07
2.77e-08,1.18505e-07,1.18265e-07
2.78e-08,1.18405e-07,1.18166e-07
2.79e-08,1.18308e-07,1.18069e-07
2.8e-08,1.18209e-07,1.1797e-07
2.81e-08,1.18113e-07,1.17873e-07
2.82e-08,1.18014e-07,1.17774e-07
2.83e-08,1.17917e-07,1.17678e-07
2.84e-08,1.17819e-07,1.17579e-07
2.85e-08,1.17723e-07,1.17483e-07
2.86e-08,1.17625e-07,1.17385e-07
2.87e-08,1.17529e-07,1.17289e-07
2.88e-08,1.17432e-07,1.17191e-07
2.89e-08,1.17335e-07,1.17096e-07
2.9e-08,1.17239e-07,1.16997e-07
2.91e-08,1.17142e-07,1.16903e-07
2.92e-08,1.17046e-07,1.16805e-07
2.93e-08,1.1695e-07,1.1671e-07
2.94e-08,1.16854e-07,1.16613e-07
2.95e-08,1.16758e-07,1.16519e-07
2.96e-08,1.16663e-07,1.16422e-07
2.97e-08,1.16567e-07,1.16328e-07
2.98e-08,1.16472e-07,1.16231e-07
2.99e-08,1.16377e-07,1.16137e-07
3e-08,1.16282e-07,1.16041e-07
3.01e-08,1.16186e-07,1.15947e-07
3.02e-08,1.16093e-07,1.15852e-07
3.03e-08,1.15997e-07,1.15757e-07
3.04e-08,1.15904e-07,1.15663e-07
3.05e-08,1.15808e-07,1.15568e-07
3.06e-08,1.15715e-07,1.15475e-07
3.07e-08,1.1562e-07,1.15379e-07
3.08e-08,1.15527e-07,1.15287e-07
3.09e-08,1.15433e-07,1.15191e-07
3.1e-08,1.1534e-07,1.15099e-07
3.11e-08,1.15246e-07,1.15004e-07
3.12e-08,1.15152e-07,1.14912e-07
3.13e-08,1.15059e-07,1.14818e-07
3.14e-08,1.14966e-07,1.14726e-07
3.15e-08,1.14874e-07,1.14632e-07
3.16e-08,1.1478e-07,1.1454e-07
3.17e-08,1.14688e-07,1.14447e-07
3.18e-08,1.14595e-07,1.14354e-07
3.19e-08,1.14503e-07,1.14262e-07
3.2e-08,1.1441e-07,1.14169e-07
3.21e-08,1.14319e-07,1.14078e-07
3.22e-08,1.14226e-07,1.13984e-07
3.23e-08,1.14135e-07,1.13894e-07
3.24e-08,1.14043e-07,1.138e-07
3.25e-08,1.13951e-07,1.1371e-07
3.26e-08,1.1386e-07,1.13617e-07
3.27e-08,1.13768e-07,1.13527e-07
3.28e-08,1.13677e-07,1.13435e-07
3.29e-08,1.13585e-07,1.13344e-07
3.3e-08,1.13495e-07,1.13253e-07
3.31e-08,1.13403e-07,1.13162e-07
3.32e-08,1.13313e-07,1.13072e-07
3.33e-08,1.13222e-07,1.1298e-07
3.34e-08,1.13132e-07,1.12891e-07
3.35e-08,1.13041e-07,1.12798e-07
3.36e-08,1.12951e-07,1.1271e-07
3.37e-08,1.12861e-07,1.12618e-07
3.38e-08,1.1277e-07,1.12529e-07
