Time,max(CACoordsX),min(CACoordsX)
3.11e-08,1.16717e-07,1.16387e-07
3.12e-08,1.16627e-07,1.16299e-07
3.13e-08,1.16535e-07,1.16208e-07
3.14e-08,1.16441e-07,1.16116e-07
3.15e-08,1.16348e-07,1.1602e-07
3.16e-08,1.16258e-07,1.1593e-07
3.17e-08,1.16168e-07,1.15841e-07
3.18e-08,1.16075e-07,1.1575e-07
3.19e-08,1.15981e-07,1.15656e-07
3.2e-08,1.15892e-07,1.15563e-07
3.21e-08,1.15802e-07,1.15475e-07
3.22e-08,1.15711e-07,1.15386e-07
3.23e-08,1.15618e-07,1.15293e-07
3.24e-08,1.15528e-07,1.15198e-07
3.25e-08,1.15439e-07,1.15111e-07
3.26e-08,1.15349e-07,1.15023e-07
3.27e-08,1.15257e-07,1.14932e-07
3.28e-08,1.15165e-07,1.14839e-07
3.29e-08,1.15077e-07,1.14749e-07
3.3e-08,1.14988e-07,1.14662e-07
3.31e-08,1.14898e-07,1.14573e-07
3.32e-08,1.14805e-07,1.14482e-07
3.33e-08,1.14717e-07,1.14388e-07
3.34e-08,1.14629e-07,1.14303e-07
3.35e-08,1.1454e-07,1.14215e-07
3.36e-08,1.14449e-07,1.14125e-07
3.37e-08,1.14359e-07,1.14033e-07
3.38e-08,1.14272e-07,1.13944e-07
3.39e-08,1.14184e-07,1.13858e-07
3.4e-08,1.14094e-07,1.1377e-07
3.41e-08,1.14003e-07,1.1368e-07
3.42e-08,1.13916e-07,1.13588e-07
3.43e-08,1.13829e-07,1.13503e-07
3.44e-08,1.13741e-07,1.13417e-07
3.45e-08,1.13651e-07,1.13328e-07
3.46e-08,1.13562e-07,1.13237e-07
3.47e-08,1.13476e-07,1.13149e-07
3.48e-08,1.13389e-07,1.13064e-07
3.49e-08,1.13301e-07,1.12977e-07
3.5e-08,1.13211e-07,1.12888e-07
3.51e-08,1.13124e-07,1.12796e-07
3.52e-08,1.13039e-07,1.12713e-07
3.53e-08,1.12952e-07,1.12627e-07
3.54e-08,1.12863e-07,1.1254e-07
3.55e-08,1.12774e-07,1.1245e-07
3.56e-08,1.12689e-07,1.12362e-07
3.57e-08,1.12604e-07,1.12279e-07
3.58e-08,1.12517e-07,1.12193e-07
3.59e-08,1.12428e-07,1.12105e-07
3.6e-08,1.12342e-07,1.12015e-07
3.61e-08,1.12257e-07,1.11931e-07
3.62e-08,1.12171e-07,1.11847e-07
3.63e-08,1.12084e-07,1.11761e-07
3.64e-08,1.11995e-07,1.11673e-07
3.65e-08,1.11912e-07,1.11584e-07
3.66e-08,1.11827e-07,1.11502e-07
3.67e-08,1.11742e-07,1.11418e-07
3.68e-08,1.11654e-07,1.11332e-07
3.69e-08,1.11567e-07,1.11243e-07
3.7e-08,1.11484e-07,1.11158e-07
3.71e-08,1.114e-07,1.11075e-07
3.72e-08,1.11314e-07,1.10991e-07
3.73e-08,1.11227e-07,1.10905e-07
3.74e-08,1.11142e-07,1.10816e-07
3.75e-08,1.11059e-07,1.10733e-07
3.76e-08,1.10975e-07,1.10651e-07
3.77e-08,1.1089e-07,1.10567e-07
3.78e-08,1.10802e-07,1.10481e-07
3.79e-08,1.10719e-07,1.10392e-07
3.8e-08,1.10637e-07,1.10312e-07
3.81e-08,1.10553e-07,1.10229e-07
3.82e-08,1.10467e-07,1.10145e-07
3.83e-08,1.10381e-07,1.10059e-07
3.84e-08,1.10299e-07,1.09973e-07
3.85e-08,1.10217e-07,1.09892e-07
3.86e-08,1.10133e-07,1.0981e-07
3.87e-08,1.10048e-07,1.09726e-07
3.88e-08,1.09963e-07,1.09639e-07
3.89e-08,1.09881e-07,1.09556e-07
3.9e-08,1.09799e-07,1.09475e-07
3.91e-08,1.09715e-07,1.09393e-07
3.92e-08,1.0963e-07,1.09309e-07
3.93e-08,1.09547e-07,1.09222e-07
3.94e-08,1.09466e-07,1.09141e-07
3.95e-08,1.09384e-07,1.0906e-07
3.96e-08,1.09301e-07,1.08979e-07
3.97e-08,1.09215e-07,1.08894e-07
3.98e-08,1.09134e-07,1.08808e-07
3.99e-08,1.09053e-07,1.08728e-07
4e-08,1.08971e-07,1.08648e-07
4.01e-08,1.08888e-07,1.08566e-07
4.02e-08,1.08803e-07,1.08482e-07
4.03e-08,1.08723e-07,1.08396e-07
4.04e-08,1.08642e-07,1.08318e-07
4.05e-08,1.08561e-07,1.08238e-07
4.06e-08,1.08478e-07,1.08157e-07
4.07e-08,1.08393e-07,1.08073e-07
4.08e-08,1.08314e-07,1.07988e-07
4.09e-08,1.08234e-07,1.0791e-07
4.1e-08,1.08153e-07,1.0783e-07
4.11e-08,1.0807e-07,1.07749e-07
4.12e-08,1.07986e-07,1.07666e-07
4.13e-08,1.07908e-07,1.07582e-07
4.14e-08,1.07828e-07,1.07504e-07
4.15e-08,1.07747e-07,1.07425e-07
4.16e-08,1.07665e-07,1.07344e-07
4.17e-08,1.07582e-07,1.07261e-07
4.18e-08,1.07503e-07,1.07178e-07
4.19e-08,1.07424e-07,1.071e-07
4.2e-08,1.07344e-07,1.07022e-07
4.21e-08,1.07262e-07,1.06941e-07
4.22e-08,1.0718e-07,1.06858e-07
4.23e-08,1.07101e-07,1.06776e-07
4.24e-08,1.07023e-07,1.06699e-07
4.25e-08,1.06943e-07,1.06621e-07
4.26e-08,1.06861e-07,1.06541e-07
4.27e-08,1.06779e-07,1.06458e-07
4.28e-08,1.06702e-07,1.06376e-07
4.29e-08,1.06623e-07,1.063e-07
4.3e-08,1.06544e-07,1.06222e-07
4.31e-08,1.06463e-07,1.06142e-07
4.32e-08,1.06381e-07,1.0606e-07
4.33e-08,1.06304e-07,1.05979e-07
4.34e-08,1.06226e-07,1.05903e-07
4.35e-08,1.06147e-07,1.05825e-07
4.36e-08,1.06067e-07,1.05746e-07
4.37e-08,1.05985e-07,1.05665e-07
4.38e-08,1.05909e-07,1.05583e-07
4.39e-08,1.05831e-07,1.05508e-07
4.4e-08,1.05753e-07,1.05431e-07
4.41e-08,1.05673e-07,1.05352e-07
4.42e-08,1.05591e-07,1.05272e-07
4.43e-08,1.05515e-07,1.0519e-07
4.44e-08,1.05438e-07,1.05115e-07
4.45e-08,1.0536e-07,1.05039e-07
4.46e-08,1.05281e-07,1.04961e-07
4.47e-08,1.052e-07,1.04881e-07
4.48e-08,1.05124e-07,1.04798e-07
4.49e-08,1.05047e-07,1.04724e-07
4.5e-08,1.0497e-07,1.04648e-07
4.51e-08,1.04891e-07,1.04571e-07
4.52e-08,1.04811e-07,1.04492e-07
4.53e-08,1.04734e-07,1.0441e-07
4.54e-08,1.04659e-07,1.04335e-07
4.55e-08,1.04582e-07,1.0426e-07
4.56e-08,1.04504e-07,1.04183e-07
4.57e-08,1.04424e-07,1.04105e-07
4.58e-08,1.04347e-07,1.04024e-07
4.59e-08,1.04272e-07,1.03948e-07
4.6e-08,1.04195e-07,1.03873e-07
4.61e-08,1.04118e-07,1.03798e-07
4.62e-08,1.04039e-07,1.0372e-07
4.63e-08,1.03962e-07,1.0364e-07
4.64e-08,1.03887e-07,1.03563e-07
4.65e-08,1.03811e-07,1.03489e-07
4.66e-08,1.03734e-07,1.03414e-07
4.67e-08,1.03656e-07,1.03337e-07
4.68e-08,1.03578e-07,1.03258e-07
4.69e-08,1.03504e-07,1.03179e-07
4.7e-08,1.03429e-07,1.03106e-07
4.71e-08,1.03353e-07,1.03032e-07
4.72e-08,1.03275e-07,1.02956e-07
4.73e-08,1.03196e-07,1.02878e-07
4.74e-08,1.03123e-07,1.02798e-07
4.75e-08,1.03048e-07,1.02725e-07
4.76e-08,1.02973e-07,1.02652e-07
4.77e-08,1.02896e-07,1.02576e-07
4.78e-08,1.02818e-07,1.02499e-07
4.79e-08,1.02743e-07,1.0242e-07
4.8e-08,1.02669e-07,1.02346e-07
4.81e-08,1.02595e-07,1.02273e-07
4.82e-08,1.02519e-07,1.02199e-07
4.83e-08,1.02442e-07,1.02123e-07
4.84e-08,1.02366e-07,1.02045e-07
4.85e-08,1.02292e-07,1.01968e-07
4.86e-08,1.02219e-07,1.01896e-07
4.87e-08,1.02144e-07,1.01823e-07
4.88e-08,1.02067e-07,1.01748e-07
4.89e-08,1.0199e-07,1.01671e-07
4.9e-08,1.01917e-07,1.01593e-07
4.91e-08,1.01844e-07,1.01521e-07
4.92e-08,1.0177e-07,1.01449e-07
4.93e-08,1.01694e-07,1.01375e-07
4.94e-08,1.01618e-07,1.01299e-07
4.95e-08,1.01544e-07,1.01221e-07
4.96e-08,1.01471e-07,1.01148e-07
4.97e-08,1.01398e-07,1.01076e-07
4.98e-08,1.01323e-07,1.01003e-07
4.99e-08,1.01247e-07,1.00928e-07
5e-08,1.01172e-07,1.00852e-07
5.01e-08,1.011e-07,1.00776e-07
5.02e-08,1.01027e-07,1.00705e-07
5.03e-08,1.00954e-07,1.00633e-07
5.04e-08,1.00879e-07,1.0056e-07
5.05e-08,1.00802e-07,1.00484e-07
5.06e-08,1.0073e-07,1.00406e-07
5.07e-08,1.00658e-07,1.00336e-07
5.08e-08,1.00586e-07,1.00265e-07
5.09e-08,1.00512e-07,1.00192e-07
5.1e-08,1.00436e-07,1.00118e-07
5.11e-08,1.00362e-07,1.00041e-07
