Time,max(CACoordsX),min(CACoordsX),max(coordsX_Meniscus),min(coordsX_Meniscus),time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N),# Time,pressureForceX,pressureForceY,pressureForceZ,viscousForceX,viscousForceY,viscousForceZ,capillaryForceX,capillaryForceY,capillaryForceZ
3.6e-09,1.51282e-07,1.5092e-07,1.51928e-07,1.5092e-07,3.60000107721e-09,-1e+300,1.5860056015900002e-23,2.77377269282e-25,(1.73735906959e-11 2.33098497482e-27 -5.41365356366e-13),3.60000107721e-09,0.0,0.0,-6.11003386835e-08,2.21309600704e-11,2.59857431781e-27,0.0,1.76415331213e-11,-5.64563395447e-25,1.77147446273e-11
3.7e-09,1.51086e-07,1.50722e-07,1.51731e-07,1.50722e-07,3.69999867076e-09,-1e+300,1.58154191426e-23,2.77849030009e-25,(1.73785625602e-11 2.35299390948e-27 -5.31766314556e-13),3.69999867076e-09,0.0,0.0,-6.20550287145e-08,2.209438938e-11,2.5791888267e-27,0.0,1.76349047029e-11,-5.12678307813e-25,1.76849575439e-11
3.8e-09,1.50891e-07,1.50529e-07,1.51536e-07,1.50529e-07,3.8000007676e-09,-1e+300,1.57740889957e-23,2.78495596139e-25,(1.74356548912e-11 3.18616679828e-27 -5.30448234169e-13),3.8000007676e-09,0.0,0.0,-6.29624237753e-08,2.21209423126e-11,3.3741038905e-27,0.0,1.7628702321e-11,-4.54419073271e-25,1.76552118634e-11
3.9e-09,1.50697e-07,1.50333e-07,1.51342e-07,1.50333e-07,3.89999650301e-09,-1e+300,1.57321939628e-23,2.79025925621e-25,(1.74393700736e-11 3.70421095158e-27 -5.21349239745e-13),3.89999650301e-09,0.0,0.0,-6.37646710253e-08,2.20870378661e-11,3.83847081066e-27,0.0,1.76229723892e-11,-3.86592375623e-25,1.76272517718e-11
4e-09,1.50506e-07,1.50143e-07,1.51149e-07,1.50143e-07,3.99999885606e-09,-1e+300,1.56959010241e-23,2.79678820821e-25,(1.7495450528e-11 4.21805983768e-27 -5.20044480158e-13),3.99999885606e-09,0.0,0.0,-6.46763150405e-08,2.21143865874e-11,4.43585369598e-27,0.0,1.7617646655e-11,-3.07664525402e-25,1.75993207781e-11
4.1e-09,1.50314e-07,1.49949e-07,1.50957e-07,1.49949e-07,4.09999535058e-09,-1e+300,1.56527355434e-23,2.80144381889e-25,(1.74960225677e-11 4.47217682347e-27 -5.11209151175e-13),4.09999535058e-09,0.0,0.0,-6.54695245023e-08,2.20784110955e-11,4.64305651021e-27,0.0,1.76127580836e-11,-2.18430278576e-25,1.75730318208e-11
4.2e-09,1.50125e-07,1.49762e-07,1.50768e-07,1.49762e-07,4.2000031013e-09,-1e+300,1.5622713650600002e-23,2.80860103685e-25,(1.7553029792e-11 3.87265637476e-27 -5.102295749e-13),4.2000031013e-09,0.0,0.0,-6.64693998876e-08,2.21094458837e-11,3.91752953841e-27,0.0,1.76082528454e-11,-1.22037923216e-25,1.75468695147e-11
4.3e-09,1.49935e-07,1.49569e-07,1.50578e-07,1.49569e-07,4.29999670398e-09,-1e+300,1.5576063232700002e-23,2.81202005127e-25,(1.75487976416e-11 3.44933287825e-27 -5.01660592516e-13),4.29999670398e-09,0.0,0.0,-6.71699539279e-08,2.20684703629e-11,3.23818366792e-27,0.0,1.76041759388e-11,-2.34925867198e-26,1.7522126098e-11
4.4e-09,1.4975e-07,1.49386e-07,1.50391e-07,1.49386e-07,4.40000306025e-09,-1e+300,1.5552489926e-23,2.8202132350899998e-25,(1.76080322696e-11 2.64267295939e-27 -5.00624723866e-13),4.40000306025e-09,0.0,0.0,-6.7996612668e-08,2.21054751194e-11,2.34385845368e-27,0.0,1.76004811355e-11,7.2488087771e-26,1.7497769763e-11
4.5e-09,1.49561e-07,1.49195e-07,1.50204e-07,1.49195e-07,4.49999597335e-09,-1e+300,1.55060897347e-23,2.82302974646e-25,(1.76080081684e-11 1.96841207329e-27 -4.93361637922e-13),4.49999597335e-09,0.0,0.0,-6.88741758986e-08,2.20693403367e-11,1.49714962882e-27,0.0,1.75971390701e-11,1.61694635964e-25,1.74743548187e-11
