Time,max(CACoordsX),min(CACoordsX),max(Result),min(Result),max(coordsX),min(coordsX)
2.17e-08,1.24287e-07,1.2401e-07,1803750.0,-32240300.0,1.25063e-07,1.2401e-07
2.18e-08,1.24179e-07,1.23905e-07,1806720.0,-32291800.0,1.24955e-07,1.23905e-07
2.19e-08,1.24068e-07,1.23799e-07,1804630.0,-32303400.0,1.24846e-07,1.23799e-07
2.2e-08,1.23958e-07,1.23688e-07,1780330.0,-32303300.0,1.24737e-07,1.23688e-07
2.21e-08,1.23853e-07,1.23576e-07,1808430.0,-32254700.0,1.2463e-07,1.23576e-07
2.22e-08,1.23745e-07,1.23473e-07,1786830.0,-32336400.0,1.24522e-07,1.23473e-07
2.23e-08,1.23634e-07,1.23366e-07,1786090.0,-32330600.0,1.24413e-07,1.23366e-07
2.24e-08,1.23527e-07,1.23254e-07,1751160.0,-32336100.0,1.24306e-07,1.23254e-07
2.25e-08,1.23422e-07,1.23147e-07,1766420.0,-32346500.0,1.24199e-07,1.23147e-07
2.26e-08,1.23314e-07,1.23043e-07,1766880.0,-32377100.0,1.24092e-07,1.23043e-07
2.27e-08,1.23203e-07,1.22936e-07,1754640.0,-32376800.0,1.23984e-07,1.22936e-07
2.28e-08,1.231e-07,1.22824e-07,1720050.0,-32406100.0,1.23878e-07,1.22824e-07
2.29e-08,1.22995e-07,1.2272e-07,1747430.0,-32392700.0,1.23772e-07,1.2272e-07
2.3e-08,1.22887e-07,1.22617e-07,1746770.0,-32415900.0,1.23666e-07,1.22617e-07
2.31e-08,1.22778e-07,1.22509e-07,1748510.0,-32386300.0,1.23559e-07,1.22509e-07
2.32e-08,1.22675e-07,1.22398e-07,1704000.0,-32422800.0,1.23454e-07,1.22398e-07
2.33e-08,1.2257e-07,1.22297e-07,1729040.0,-32435000.0,1.23349e-07,1.22297e-07
2.34e-08,1.22463e-07,1.22194e-07,1726590.0,-32454900.0,1.23243e-07,1.22194e-07
2.35e-08,1.22356e-07,1.22086e-07,1729240.0,-32411800.0,1.23137e-07,1.22086e-07
2.36e-08,1.22254e-07,1.21977e-07,1729980.0,-32391500.0,1.23033e-07,1.21977e-07
