Time,max(Result),min(Result)
4.48e-08,1.89366e+06,-6.63439e+06
4.49e-08,1.89263e+06,-6.63572e+06
4.5e-08,1.89277e+06,-6.6364e+06
4.51e-08,1.90267e+06,-6.63647e+06
4.52e-08,1.91188e+06,-6.63556e+06
4.53e-08,1.92026e+06,-6.63468e+06
4.54e-08,1.92763e+06,-6.63508e+06
4.55e-08,1.93381e+06,-6.63585e+06
4.56e-08,1.94143e+06,-6.63345e+06
4.57e-08,1.94264e+06,-6.64297e+06
4.58e-08,1.94501e+06,-6.64784e+06
4.59e-08,1.94724e+06,-6.65144e+06
4.6e-08,1.94733e+06,-6.65498e+06
4.61e-08,1.94587e+06,-6.65759e+06
4.62e-08,1.95363e+06,-6.65958e+06
4.63e-08,1.96499e+06,-6.66087e+06
4.64e-08,1.97504e+06,-6.66142e+06
4.65e-08,1.98382e+06,-6.66277e+06
4.66e-08,1.98918e+06,-6.66823e+06
4.67e-08,1.99332e+06,-6.67307e+06
4.68e-08,2.00195e+06,-6.66819e+06
4.69e-08,2.00492e+06,-6.6704e+06
4.7e-08,2.0044e+06,-6.67339e+06
4.71e-08,2.00083e+06,-6.67597e+06
4.72e-08,1.99382e+06,-6.67779e+06
4.73e-08,1.98384e+06,-6.67602e+06
4.74e-08,1.96919e+06,-6.67782e+06
4.75e-08,1.95042e+06,-6.67647e+06
4.76e-08,1.94563e+06,-6.68666e+06
4.77e-08,1.95325e+06,-6.67872e+06
4.78e-08,1.95885e+06,-6.67273e+06
4.79e-08,1.96048e+06,-6.67179e+06
4.8e-08,1.96129e+06,-6.67012e+06
4.81e-08,1.96095e+06,-6.67036e+06
4.82e-08,1.95905e+06,-6.67282e+06
4.83e-08,1.95326e+06,-6.67646e+06
4.84e-08,1.94534e+06,-6.67314e+06
4.85e-08,1.93168e+06,-6.67264e+06
4.86e-08,1.91236e+06,-6.67016e+06
4.87e-08,1.88878e+06,-6.66636e+06
4.88e-08,1.88618e+06,-6.6617e+06
4.89e-08,1.89082e+06,-6.64906e+06
4.9e-08,1.88707e+06,-6.6542e+06
4.91e-08,1.8865e+06,-6.65008e+06
4.92e-08,1.8848e+06,-6.64575e+06
4.93e-08,1.88108e+06,-6.64159e+06
4.94e-08,1.87575e+06,-6.63145e+06
4.95e-08,1.86677e+06,-6.63679e+06
4.96e-08,1.86771e+06,-6.63604e+06
4.97e-08,1.86746e+06,-6.63408e+06
4.98e-08,1.86564e+06,-6.63158e+06
4.99e-08,1.86247e+06,-6.62843e+06
5e-08,1.85905e+06,-6.6247e+06
5.01e-08,1.86882e+06,-6.62449e+06
5.02e-08,1.88257e+06,-6.61733e+06
5.03e-08,1.89299e+06,-6.61249e+06
5.04e-08,1.90241e+06,-6.60678e+06
5.05e-08,1.91036e+06,-6.60023e+06
5.06e-08,1.91642e+06,-6.59316e+06
5.07e-08,1.92086e+06,-6.5875e+06
5.08e-08,1.924e+06,-6.58393e+06
5.09e-08,1.92599e+06,-6.57923e+06
5.1e-08,1.92489e+06,-6.57768e+06
5.11e-08,1.92342e+06,-6.57333e+06
5.12e-08,1.92673e+06,-6.56946e+06
5.13e-08,1.94211e+06,-6.56554e+06
5.14e-08,1.95849e+06,-6.56292e+06
5.15e-08,1.97472e+06,-6.55897e+06
5.16e-08,1.99034e+06,-6.55483e+06
5.17e-08,1.96302e+06,-6.5865e+06
5.18e-08,2.01616e+06,-6.54708e+06
5.19e-08,2.02424e+06,-6.54376e+06
5.2e-08,2.02923e+06,-6.54049e+06
5.21e-08,2.02993e+06,-6.54049e+06
5.22e-08,2.02574e+06,-6.54362e+06
5.23e-08,2.01779e+06,-6.54074e+06
5.24e-08,2.00371e+06,-6.54124e+06
5.25e-08,1.98355e+06,-6.54166e+06
5.26e-08,1.95061e+06,-6.54697e+06
5.27e-08,1.93829e+06,-6.54212e+06
5.28e-08,1.93897e+06,-6.54135e+06
5.29e-08,1.93592e+06,-6.54876e+06
5.3e-08,1.93429e+06,-6.53797e+06
5.31e-08,1.92782e+06,-6.53542e+06
5.32e-08,1.91713e+06,-6.53257e+06
5.33e-08,1.90393e+06,-6.52825e+06
5.34e-08,1.90656e+06,-6.52113e+06
5.35e-08,1.90568e+06,-6.52336e+06
5.36e-08,1.90551e+06,-6.52218e+06
5.37e-08,1.91461e+06,-6.52029e+06
5.38e-08,1.92323e+06,-6.51793e+06
5.39e-08,1.93128e+06,-6.51563e+06
5.4e-08,1.93838e+06,-6.51253e+06
5.41e-08,1.94268e+06,-6.50989e+06
5.42e-08,1.95364e+06,-6.49863e+06
5.43e-08,1.97311e+06,-6.47503e+06
5.44e-08,1.94894e+06,-6.50754e+06
5.45e-08,1.95536e+06,-6.49995e+06
5.46e-08,1.95639e+06,-6.4966e+06
5.47e-08,1.95496e+06,-6.49673e+06
5.48e-08,1.95361e+06,-6.49062e+06
5.49e-08,1.98631e+06,-6.45832e+06
5.5e-08,1.95364e+06,-6.48459e+06
5.51e-08,1.94684e+06,-6.4895e+06
5.52e-08,1.94596e+06,-6.48965e+06
5.53e-08,1.9446e+06,-6.48896e+06
5.54e-08,1.96318e+06,-6.46035e+06
5.55e-08,1.94063e+06,-6.48887e+06
5.56e-08,1.94341e+06,-6.48581e+06
5.57e-08,1.94101e+06,-6.48634e+06
5.58e-08,1.93814e+06,-6.48484e+06
5.59e-08,1.94259e+06,-6.47929e+06
5.6e-08,1.94109e+06,-6.4794e+06
5.61e-08,1.94196e+06,-6.47655e+06
5.62e-08,1.94591e+06,-6.47908e+06
5.63e-08,1.95292e+06,-6.47476e+06
5.64e-08,1.97099e+06,-6.46072e+06
5.65e-08,1.95622e+06,-6.48325e+06
5.66e-08,2.02562e+06,-6.42604e+06
5.67e-08,1.9729e+06,-6.47754e+06
5.68e-08,1.97679e+06,-6.47753e+06
5.69e-08,1.9796e+06,-6.47715e+06
5.7e-08,1.98301e+06,-6.4756e+06
5.71e-08,1.98622e+06,-6.47305e+06
5.72e-08,1.98756e+06,-6.47163e+06
5.73e-08,1.98765e+06,-6.46902e+06
5.74e-08,1.9862e+06,-6.46676e+06
5.75e-08,1.96292e+06,-6.48259e+06
5.76e-08,1.98718e+06,-6.45874e+06
5.77e-08,1.9921e+06,-6.45836e+06
